시군명,업체명,도로명주소,지번주소,우편번호,전화번호,WGS84위도,WGS84경도
고양시,삼송사랑 동물의료센터,경기도 고양시 덕양구 삼송로 92,경기도 고양시 덕양구 삼송동 326번지 2호 우영프라자 2층,10589,02-388-8275,37.6508368004,126.8843609777
고양시,서울종합동물병원,경기도 고양시 일산동구 호수로 340-25,경기도 고양시 일산동구 백석동 1320 동문굿모닝힐 202-110호,10449,031-904-7587,37.6388182315,126.7875971678
고양시,서울프라임 동물병원,경기도 고양시 덕양구 중앙로 628,경기도 고양시 덕양구 화정동 1148-1번지 예일프라자,10503,031-970-0075,37.6275324506,126.8289101559
고양시,서울하은동물병원,경기도 고양시 덕양구 꽃내음1길 128,경기도 고양시 덕양구 향동동 489번지 11호,10545,02-6951-0275,37.5998956551,126.8900033897
고양시,센트럴동물병원,경기도 고양시 덕양구 은빛로 45,경기도 고양시 덕양구 화정동 909번지 3호 화정꽃무리조합프라자,10477,031-967-8275,37.6381103365,126.8330200085
고양시,소노펫 동물병원,경기도 고양시 일산동구 태극로 18,경기도 고양시 일산동구 장항동 1755번지 소노캄고양웨스트타워,10394,031-927-5410,37.6625616531,126.7501934137
고양시,소망 동물병원,경기도 고양시 일산동구 위시티2로 13,경기도 고양시 일산동구 식사동 1546번지,10323,031-965-8275,37.6766213336,126.8121499111
고양시,수 동물병원(장항동),경기도 고양시 일산동구 호수로 662,경기도 고양시 일산동구 장항동 751번지 삼성라끄빌 101호,10401,031-900-8875,37.6607585379,126.7658801073
고양시,스마트동물병원,경기도 고양시 일산동구 호수로 678,"경기도 고양시 일산동구 장항동 750번지 삼성스위트101호, 102-1호",10364,031-913-8820,37.6618424343,126.7648036830
고양시,시민종합동물병원,경기도 고양시 일산서구 대산로 126,경기도 고양시 일산서구 주엽동 31번지 1호,10375,031-911-7346,37.6747879746,126.7637687862
고양시,신원동물메디컬센터,경기도 고양시 덕양구 신원로1길 42,경기도 고양시 덕양구 신원동 638번지 4호,10570,02-381-0507,37.6619606414,126.8881013162
고양시,신일산동물병원,경기도 고양시 일산동구 강송로 180,경기도 고양시 일산동구 마두동 759번지 104호,10416,031-904-6681,37.6547217116,126.7838061686
고양시,아마존,경기도 고양시 덕양구 중앙로558번길 21,경기도 고양시 덕양구 행신동 944번지 GS마트 주차빌딩 별관 1층,10495,031-972-7582,37.6246698042,126.8359165022
고양시,앞선동물병원,경기도 고양시 덕양구 신원로1길 48,경기도 고양시 덕양구 신원동 638-2번지,10570,02-381-0075,37.6618149643,126.8878190661
고양시,애니웰동물병원,경기도 고양시 일산동구 장백로 13,경기도 고양시 일산동구 백석동 1314번지 성우아뜨리움오피스텔,10449,031-815-7582,37.6396978726,126.7899803293
고양시,예 동물병원,경기도 고양시 덕양구 도래울로 52,경기도 고양시 덕양구 도내동 1020번지 센터프라자 104호,10551,031-969-6075,37.6303700879,126.8694795633
고양시,오마이독 강아지분양 애견샵,경기도 고양시 일산동구 무궁화로 373-1,경기도 고양시 일산동구 식사동 832-15번지 삼성캐슬 102동 1층 101호,10320,,37.6781924128,126.8003641961
고양시,올리브동물병원,경기도 고양시 일산동구 중앙로 1130,경기도 고양시 일산동구 마두동 806번지 올리브상가 C동 1층 12호,10422,031-908-7582,37.6496256078,126.7802502896
고양시,워리워리동물병원,경기도 고양시 일산서구 대산로223번길 8-26,경기도 고양시 일산서구 대화동 2141번지,10377,031-921-7733,37.6791238197,126.7523855481
고양시,원흥동물의료센터,경기도 고양시 덕양구 도래울로 40,경기도 고양시 덕양구 도내동 1087번지,10551,031-966-3328,37.6293659576,126.8687967402
고양시,웨스턴동물병원,경기도 고양시 일산동구 정발산로 15,경기도 고양시 일산동구 장항동 863-1 120호,10402,031-902-7567,37.6564338950,126.7705141534
고양시,웰니스동물병원 스타필드 고양,경기도 고양시 덕양구 고양대로 1955,경기도 고양시 덕양구 동산동 370번지 스타필드 고양,10595,031-5173-1487,37.6470962619,126.8948092677
고양시,위시티 동물병원,,경기도 고양시 일산동구 식사동 344번지 자이주상복합아파트 상가 B동 211-1호,,031-969-9369,37.6809381400,126.8139867612
고양시,위즈펫동물병원 풍산점,경기도 고양시 일산동구 무궁화로 237,경기도 고양시 일산동구 중산동 1809번지 이마트 2층,10311,031-975-7579,37.6738948112,126.7871031801
고양시,이마트 풍산점,경기도 고양시 일산동구 무궁화로 237,경기도 고양시 일산동구 중산동 1809번지,10311,031-910-1269,37.6738948112,126.7871031801
고양시,이솝동물병원,경기도 고양시 일산동구 일산로286번길 7-7,경기도 고양시 일산동구 마두동 898번지 7호 22통 1반,10412,031-903-3399,37.6617307004,126.7862331414
고양시,이용철동물병원,경기도 고양시 일산서구 고양대로 692,경기도 고양시 일산서구 일산동 643번지 3호,10353,031-975-1475,37.6836316010,126.7727542485
고양시,이창훈 동물병원,경기도 고양시 일산동구 무궁화로141번길 7-9,경기도 고양시 일산동구 정발산동 1180번지 3호,10359,031-917-2300,37.6694671377,126.7763848878
고양시,일산 클래식 동물병원,,경기도 고양시 일산동구 백석동 1194번지 흰돌마을1단지아파트 이마트 1층 전용관,10421,031-902-1375,37.6475958027,126.7829110755
고양시,일산강아지 빼로독,경기도 고양시 일산동구 산두로201번길 26,경기도 고양시 일산동구 정발산동 1244번지 9호,10358,,37.6739481826,126.7810473128
고양시,일산시티 동물의료센터,,경기도 고양시 일산동구 장항동 752번지 삼성메리헨하우스,10401,031-932-0085,37.6601492727,126.7664643200
고양시,일산제일동물병원,,경기도 고양시 일산서구 일산동 1065번지 123호,10374,031-913-7266,,
고양시,자유로 동물병원,경기도 고양시 일산서구 대화로 120,경기도 고양시 일산서구 대화동 1450번지 1호 자유로프라자,10222,031-925-3567,37.6697044975,126.7340429263
고양시,작은 친구 동물병원,경기도 고양시 덕양구 토당로 52,경기도 고양시 덕양구 토당동 855번지 외1필지 능곡역프라자,10510,031-970-9204,37.6204995704,126.8205993871
고양시,제이엠 동물병원,경기도 고양시 일산동구 정발산로 43-20,경기도 고양시 일산동구 장항동 846번지 센트럴프라자 205호,10402,031-924-1375,37.6583803846,126.7733747675
고양시,조이동물병원,경기도 고양시 일산서구 경의로 844,경기도 고양시 일산서구 덕이동 267-1번지,10232,031-919-1175,37.6928802304,126.7598922826
고양시,중산종합동물병원,경기도 고양시 일산서구 고봉로 299,경기도 고양시 일산서구 일산동 555번지 9호,10340,031-976-8939,37.6858946979,126.7772800655
고양시,진스종합동물병원,,경기도 고양시 일산동구 장항동 883번지 호수마을5단지아파트 청구 상가 121~122호,10413,031-903-0626,37.6497058698,126.7756924721
고양시,참사랑동물병원,경기도 고양시 일산동구 탄중로 324,경기도 고양시 일산동구 중산동 1570번지,10333,031-975-0187,37.6931281213,126.7810209544
고양시,초원동물병원,경기도 고양시 일산서구 일산로 589,경기도 고양시 일산서구 일산동 1054-1 현대프라자 104,10371,031-911-8766,37.6795411989,126.7628485981
고양시,코리아퍼피 킨텍스점,경기도 고양시 일산서구 킨텍스로 171,"경기도 고양시 일산서구 대화동 2703번지, 이마트킨텍스점 지하1층",10390,02-2104-5025,37.6615673830,126.7441037261
고양시,쿨펫동물병원,경기도 고양시 덕양구 화중로 66,경기도 고양시 덕양구 화정동 982번지 롯데마트 2층 쿨펫동물병원,10500,031-971-7585,37.6329529662,126.8311167607
고양시,쿨펫동물병원 킨텍스점,경기도 고양시 일산서구 킨텍스로 171,경기도 고양시 일산서구 대화동 2703번지,10390,031-911-9975,37.6615673830,126.7441037261
고양시,킹덤펫,경기도 고양시 일산동구 고양대로 1000,경기도 고양시 일산동구 식사동 1059번지 5호,10303,031-965-5053,37.6742697191,126.8046080521
고양시,탄현 동물병원,경기도 고양시 일산서구 일현로 131,경기도 고양시 일산서구 탄현동 132-62번지 105호,10241,031-915-3314,37.6985487186,126.7655302945
고양시,탑케어동물의료원,경기도 고양시 덕양구 화신로272번길 5,경기도 고양시 덕양구 화정동 984번지 8호,10500,1666-7501,37.6312311266,126.8310641950
고양시,토론토 동물병원,경기도 고양시 일산서구 대산로212번길 8-12,경기도 고양시 일산서구 대화동 2119번지 4호,10370,031-923-7533,37.6782266204,126.7558873491
고양시,통일로 동물병원,경기도 고양시 덕양구 통일로 730,경기도 고양시 덕양구 관산동 163번지 16호,10285,031-963-4934,37.6879281913,126.8693441756
고양시,튼튼동물병원,경기도 고양시 일산동구 일산로 38,경기도 고양시 일산동구 백석동 1309번지 우림보보,10449,031-811-9975,37.6418538178,126.7872848107
고양시,페로페라동물병원,경기도 고양시 일산동구 위시티2로11번길 16,경기도 고양시 일산동구 식사동 1537번지 202호,10323,031-969-8586,37.6772634204,126.8125182077
고양시,페리토-웰니스동물병원,경기도 고양시 일산동구 중앙로1275번길 64,경기도 고양시 일산동구 장항동 755번지 홈플러스 일산점 4층,10401,031-926-3070,37.6590645766,126.7688671725
고양시,펫스마일동물병원,경기도 고양시 일산서구 일산로741번길 5-1,경기도 고양시 일산서구 대화동 2194-4,10377,031-919-7582,37.6771591586,126.7509990927
고양시,펫앤유24시동물병원,경기도 고양시 덕양구 통일로 1128,경기도 고양시 덕양구 내유동 431-9번지,10264,031-962-8274,37.7150059021,126.8514377811
고양시,펫페스티벌,경기도 고양시 일산동구 고양대로 885,경기도 고양시 일산동구 풍동 660번지 3호 3층,10319,031-977-8551,37.6789448362,126.7935302164
고양시,펫피아 동물병원,경기도 고양시 덕양구 충경로 45,경기도 고양시 덕양구 행신동 756번지 10호,10525,031-973-0997,37.6156857686,126.8347160317
고양시,포근한동물병원,경기도 고양시 덕양구 동세로 63,경기도 고양시 덕양구 삼송동 337번지 3호,10588,02-381-7963,37.6481325706,126.8843152860
고양시,풍동 라파엘 동물병원,,경기도 고양시 일산동구 풍동 1279번지 2호 아크리아,10306,031-901-7980,37.6673870194,126.7990936691
고양시,풍동동물병원,경기도 고양시 일산동구 숲속마을로 48,경기도 고양시 일산동구 풍동 1280번지 신성프라자 108호,10306,031-907-7702,37.6674431629,126.7979252614
고양시,하노버동물병원,경기도 고양시 일산서구 중앙로 1470,경기도 고양시 일산서구 주엽동 17번지 동부썬프라자 C동 106호,10379,031-919-3567,37.6722957977,126.7572959612
고양시,해맑은동물병원,경기도 고양시 일산서구 일현로 48,경기도 고양시 일산서구 탄현동 1573-5 현해프라자 203호,10343,031-924-0075,37.6912696849,126.7632202251
고양시,해오름 동물병원,경기도 고양시 덕양구 호국로 821,경기도 고양시 덕양구 주교동 621-3번지 101호,10462,031-818-6543,37.6589530056,126.8385249433
고양시,행신동물병원,경기도 고양시 덕양구 행신로 147,경기도 고양시 덕양구 행신동 647-14,10517,031-971-5534,37.6193729646,126.8316577052
고양시,호수동물병원,경기도 고양시 일산서구 중앙로 1470,경기도 고양시 일산서구 주엽동 17 동부썬프라자 A동 106-3,10379,031-922-1072,37.6722957977,126.7572959612
고양시,화정동물병원,경기도 고양시 덕양구 은빛로29번길 46,경기도 고양시 덕양구 화정동 913번지 4호,10476,031-962-0075,37.6400248779,126.8320847985
과천시,구자동동물병원,경기도 과천시 별양상가1로 38,경기도 과천시 별양동 1-7번지 백두빌딩 110호,13837,02-504-7588,37.4281635182,126.9935631022
과천시,꾸러기 동물병원,경기도 과천시 별양상가2로 20,경기도 과천시 별양동 1번지 18호,13837,02-502-7509,37.4268251693,126.9925549060
과천시,봄앤동물병원,경기도 과천시 별양로 164,경기도 과천시 부림동 49번지 과천센트럴파크푸르지오써밋 상가동 205호,13832,02-2038-7718,37.4328100932,126.9988556293
과천시,서울동물병원,경기도 과천시 용마로 2,경기도 과천시 과천동 513번지 4호,13812,02-503-7787,37.4480596930,126.9942656188
과천시,슈르 동물병원,,경기도 과천시 원문동 4번지 래미안슈르아파트A상가 1010호,13835,02-3418-7500,37.4190568532,126.9929011584
과천시,플래니터리헬스,경기도 과천시 별양로 12,경기도 과천시 원문동 4번지 래미안 슈르 339 2302,13835,070-8064-2366,37.4213518829,126.9920945753
광명시,24시 모두의동물병원,경기도 광명시 하안로 289,경기도 광명시 하안동 51번지 태홍빌딩,14305,02-6951-2475,37.4616949010,126.8801934925
광명시,24시광명힐동물메디컬센터,경기도 광명시 금하로 464,경기도 광명시 소하동 1335번지,14316,02-2088-7522,37.4484470224,126.8840449468
광명시,광명24아이디동물의료센터,경기도 광명시 오리로 870,경기도 광명시 철산동 259번지 서희스타힐스빌딩 2층,14235,02-6952-2475,37.4760501158,126.8659604517
광명시,광명시티동물병원,경기도 광명시 금하로 522,경기도 광명시 소하동 38번지 2호,14318,02-897-7585,37.4505966159,126.8900985745
광명시,광명힐동물메디컬센터,경기도 광명시 금하로 464,경기도 광명시 소하동 1335번지,14316,02-2088-7522,37.4484470224,126.8840449468
광명시,김민성 동물병원,경기도 광명시 광덕산로 5,경기도 광명시 철산동 637번지 철산푸르지오하늘채아파트 112호(종합상가),14241,02-2686-7585,37.4703709903,126.8692201352
광명시,뉴광명동물메디컬센터,경기도 광명시 광명로 868,경기도 광명시 광명동 158번지 1428호,14267,02-2060-7577,37.4765134272,126.8533235345
광명시,마음동물병원,경기도 광명시 성채로50번길 25,경기도 광명시 소하동 1382번지,14328,02-897-9993,37.4325248050,126.8798011259
광명시,메디힐동물병원,경기도 광명시 신기로 21,경기도 광명시 일직동 511번지 5호 GS steel Tower,14344,02-6275-0075,37.4201786592,126.8837341013
광명시,모아동물병원,경기도 광명시 하안로 314,경기도 광명시 하안동 33번지 1층,14247,02-6085-4777,37.4636093693,126.8791599843
광명시,바른동물병원,경기도 광명시 가마산로 7,경기도 광명시 철산동 105번지 1호,14229,02-2614-0780,37.4845465621,126.8670197524
광명시,봄빛동물병원,경기도 광명시 디지털로 56,경기도 광명시 철산동 634번지 철산래미안자이아파트 상가 101호,14242,02-2619-7588,37.4723569237,126.8731616454
광명시,아이튼튼동물병원,경기도 광명시 신기로 7,경기도 광명시 일직동 510-8번지 골드스타빌딩 205호,14344,02-899-7580,37.4206048681,126.8824987603
광명시,앨리스동물병원,경기도 광명시 소하로 88,경기도 광명시 소하동 1341번지 3호,14316,02-899-7512,37.4469471133,126.8833450092
광명시,온빛동물병원,경기도 광명시 오리로 352,경기도 광명시 소하동 1269번지,14327,02-898-8971,37.4339842380,126.8796534433
광명시,웰니스동물병원,경기도 광명시 소하로 97,경기도 광명시 소하동 1339-3 3층,14316,02-899-8780,37.4465293847,126.8844789638
광명시,이마트 광명소하점,경기도 광명시 소하로 97,경기도 광명시 소하동 1339번지 3호,14316,070-8870-8245,37.4465293847,126.8844789638
광명시,참 좋은 동물병원,,경기도 광명시 광명동 대성빌딩,,02-2683-5638,,
광명시,치료해주오,경기도 광명시 금하로 464,경기도 광명시 소하동 1335번지,14316,02-2088-7522,37.4484470224,126.8840449468
광명시,하안동물병원,경기도 광명시 하안로 309,경기도 광명시 하안동 34-3번지 세인빌딩 105호,14248,02-897-7580,37.4629693732,126.8791539685
광명시,해담동물병원,경기도 광명시 디지털로 13,경기도 광명시 철산동 424번지,14240,02-588-8275,37.4739656716,126.8688958814
광명시,행복한동물병원,경기도 광명시 광복로 45-1,경기도 광명시 광명동 6번지 87호,14205,02-2625-7575,37.4889732080,126.8638490760
광주시,견우동물병원,경기도 광주시 태봉로 26,경기도 광주시 태전동 261번지 14호,12785,031-767-0079,37.3910193616,127.2301354215
광주시,곤지암 행복 동물병원,경기도 광주시 곤지암읍 경충대로 702,경기도 광주시 곤지암읍 삼리 6-1번지,12800,031-761-9394,37.3533671872,127.3315656158
광주시,곤지암동물병원,경기도 광주시 곤지암읍 곤지암로 70-14,경기도 광주시 곤지암읍 곤지암리 453-7번지 1층,12804,031-769-5675,37.3501136850,127.3383926152
광주시,광주TNR동물병원(송정),경기도 광주시 경안천로 144,경기도 광주시 송정동 6번지 9호,12740,031-798-7581,37.4174611317,127.2753012073
광주시,광주동물병원,경기도 광주시 오포읍 양벌로 212,경기도 광주시 오포읍 양벌리 373번지 1호,12795,031-763-8825,37.3781088181,127.2536529511
광주시,그랜드24시동물병원,경기도 광주시 경안안길 5,경기도 광주시 경안동 123번지 7호,12755,031-766-1475,37.4145028560,127.2518839216
광주시,나비누리 동물병원,경기도 광주시 중앙로 69-4,경기도 광주시 역동 27번지 9호,12759,031-763-7583,37.4063546826,127.2607694956
광주시,동현24시동물병원,경기도 광주시 경안천로 5,경기도 광주시 송정동 64번지 29호 1층,12741,031-768-7599,37.4141697652,127.2608350467
광주시,모란동물병원,경기도 광주시 파발로 161-1,경기도 광주시 경안동 96번지 6호,12755,031-767-7588,37.4143153909,127.2527546830
광주시,모란동물병원,경기도 광주시 파발로 161-1,경기도 광주시 경안동 96번지 6호,12755,031-767-7588,37.4143153909,127.2527546830
광주시,모란동물병원(쌍령),경기도 광주시 경충대로 1448,경기도 광주시 쌍령동 168번지 2호,12791,031-765-1100,37.3993943919,127.2736717091
광주시,바른동물병원,경기도 광주시 파발로 107,경기도 광주시 경안동 446-19번지 남성빌딩 1층,12756,031-762-8875,37.4135076545,127.2588143732
광주시,분당에덴동물병원,경기도 광주시 오포읍 능평로 203,경기도 광주시 오포읍 능평리 166번지 1호,12773,031-768-9339,37.3450521872,127.1774959379
광주시,새롬동물병원,경기도 광주시 퇴촌면 천진암로 447-1,경기도 광주시 퇴촌면 도수리 331-11번지,12711,031-763-7588,37.4674637611,127.3193455020
광주시,서울동물메디컬센터,경기도 광주시 오포읍 신현로 89,경기도 광주시 오포읍 신현리 674번지,12820,031-8022-7582,37.3604164533,127.1567311425
광주시,서울동물메디컬센터,경기도 광주시 오포읍 신현로 89,경기도 광주시 오포읍 신현리 674번지,12820,031-8022-7582,37.3604164533,127.1567311425
광주시,송정동물의료센터,경기도 광주시 탄벌길 7,경기도 광주시 탄벌동 140번지 태경빌딩,12747,031-767-7975,37.4191413524,127.2459467465
광주시,알프스동물병원,경기도 광주시 고불로 32,경기도 광주시 중대동 28번지 187호,12768,031-761-1600,37.3937768467,127.2337859166
광주시,애플펫 동물병원,경기도 광주시 오포읍 태재로 21,경기도 광주시 오포읍 신현리 709번지 27호,12820,031-726-4800,37.3600415143,127.1518093683
광주시,영주동물병원,경기도 광주시 파발로151번길 4-2,경기도 광주시 경안동 97-11번지 2층,12755,031-762-3575,37.4140647999,127.2536143464
광주시,원동물병원,경기도 광주시 경안천로 131,경기도 광주시 송정동 8-6번지,12740,031-797-5528,37.4171066005,127.2737314297
광주시,이솝동물병원,경기도 광주시 초월읍 경충대로 1264,경기도 광주시 초월읍 대쌍령리 185번지 1호,12735,031-768-8820,37.3874766694,127.2874554228
광주시,참좋은동물병원,경기도 광주시 오포읍 신현로 123,경기도 광주시 오포읍 신현리 367번지 14호,12820,031-713-0103,37.3588759407,127.1601484082
광주시,퇴촌동물병원,경기도 광주시 퇴촌면 천진암로 338,경기도 광주시 퇴촌면 광동리 190번지 2호,12711,031-768-7585,37.4717120103,127.3096432878
광주시,푸른동물병원,경기도 광주시 고불로 54,경기도 광주시 중대동 17번지 10호,12768,031-764-3033,37.3932862013,127.2320591500
광주시,하하동물병원,경기도 광주시 태전동로 25,경기도 광주시 태전동 162-5번지 퍼스트타워 104호,12787,031-766-3463,37.3867745954,127.2344432757
구리시,24시 더케어 동물의료센터,경기도 구리시 경춘로 292,경기도 구리시 수택동 561번지 1호,11930,031-516-8585,37.6032879385,127.1470987975
구리시,가람동물병원,경기도 구리시 건원대로 41,경기도 구리시 인창동 346번지 40호,11918,031-558-7582,37.6047348276,127.1397166050
구리시,가온 동물병원,경기도 구리시 이문안로 138,경기도 구리시 토평동 965번지 우신빌딩 1층,11946,031-568-8275,37.5909381287,127.1466473960
구리시,갈매동물병원,경기도 구리시 갈매중앙로 70,경기도 구리시 갈매동 646번지 넘버원리치안 상가 202호,11902,031-529-5088,37.6304963655,127.1171752502
구리시,건국동물병원,경기도 구리시 이문안로 27,경기도 구리시 교문동 765번지 대명상가,11936,031-569-0277,37.5923333973,127.1342146495
구리시,구리 안심 동물병원,경기도 구리시 벌말로 186,경기도 구리시 토평동 997번지 1호,11945,031-569-8875,37.5928606617,127.1505689400
구리시,구리동물병원,경기도 구리시 검배로 36,경기도 구리시 수택동 424번지 14호 현주아이프렌드빌딩 101,11928,031-557-9009,37.5980029047,127.1430569173
구리시,내친구동물병원,경기도 구리시 이문안로 105,경기도 구리시 수택동 660번지 7호,11941,031-568-0075,37.5918292421,127.1432449876
구리시,띠아몽 구리점,경기도 구리시 안골로 7,경기도 구리시 교문동 731번지 16호,11924,,37.5973468178,127.1319358065
구리시,래플즈동물병원,경기도 구리시 동구릉로 118,경기도 구리시 인창동 408번지 14호,11918,031-563-7582,37.6096830206,127.1367129409
